air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,type_H,type_L,type_M,temp_diff_k,power_w,tool_wear_torque_product,speed_torque_ratio,wear_early_life,wear_mid_life,wear_wear_window,wear_beyond_240
298.1,308.6,1551,42.8,0,0,0,0,1,10.5,6951.5905601573495,0.0,36.23831775700935,1,0,0,0
298.2,308.7,1408,46.3,3,0,0,1,0,10.5,6826.722724152667,138.89999999999998,30.41036717062635,1,0,0,0
298.1,308.5,1498,49.4,5,0,0,1,0,10.399999999999977,7749.387542560966,247.0,30.323886639676115,1,0,0,0
298.2,308.6,1433,39.5,7,0,0,1,0,10.400000000000034,5927.504658915662,276.5,36.278481012658226,1,0,0,0
298.2,308.7,1408,40.0,9,0,0,1,0,10.5,5897.816608339238,360.0,35.2,1,0,0,0
298.1,308.6,1425,41.9,11,0,0,0,1,10.5,6252.554778807085,460.9,34.00954653937948,1,0,0,0
298.1,308.6,1558,42.4,14,0,0,1,0,10.5,6917.703247400628,593.6,36.74528301886792,1,0,0,0
298.1,308.6,1527,40.2,16,0,0,1,0,10.5,6428.264055922363,643.2,37.98507462686567,1,0,0,0
298.3,308.7,1667,28.6,18,0,0,0,1,10.399999999999977,4992.6399890359235,514.8000000000001,58.28671328671329,1,0,0,0
298.5,309.0,1741,28.0,21,0,0,0,1,10.5,5104.878622573175,588.0,62.17857142857143,1,0,0,0
298.4,308.9,1782,23.9,24,0,1,0,0,10.5,4459.993426595285,573.5999999999999,74.56066945606695,1,0,0,0
298.6,309.1,1423,44.3,29,0,1,0,0,10.5,6601.4181710127195,1284.6999999999998,32.121896162528216,1,0,0,0
298.6,309.1,1339,51.1,34,0,0,0,1,10.5,7165.229332576969,1737.4,26.203522504892366,1,0,0,0
298.6,309.2,1742,30.0,37,0,0,0,1,10.599999999999966,5472.6544025534195,1110.0,58.06666666666667,1,0,0,0
298.6,309.2,2035,19.6,40,0,0,1,0,10.599999999999966,4176.85215270275,784.0,103.8265306122449,1,0,0,0
298.6,309.2,1542,48.4,42,0,0,1,0,10.599999999999966,7815.528539894543,2032.8,31.859504132231407,1,0,0,0
298.6,309.2,1311,46.6,44,0,0,0,1,10.599999999999966,6397.602111623326,2050.4,28.13304721030043,1,0,0,0
298.7,309.2,1410,45.6,47,0,0,0,1,10.5,6733.061375173645,2143.2000000000003,30.921052631578945,1,0,0,0
298.8,309.2,1306,54.5,50,0,1,0,0,10.399999999999977,7453.6380101520235,2725.0,23.96330275229358,1,0,0,0
298.9,309.3,1632,32.5,55,0,0,0,1,10.400000000000034,5554.335811546754,1787.5,50.215384615384615,1,0,0,0
298.9,309.3,1375,42.7,58,0,1,0,0,10.400000000000034,6148.358622463024,2476.6000000000004,32.20140515222482,1,0,0,0
298.8,309.3,1450,44.8,63,0,0,1,0,10.5,6802.595292573098,2822.3999999999996,32.36607142857143,1,0,0,0
298.9,309.3,1581,30.7,65,0,0,0,1,10.400000000000034,5082.75133831639,1995.5,51.498371335504885,1,0,0,0
299.0,309.4,1758,25.7,68,0,0,1,0,10.399999999999977,4731.3013681593,1747.6,68.40466926070039,1,0,0,0
299.0,309.4,1561,37.3,70,0,0,0,1,10.399999999999977,6097.339157768725,2611.0,41.84986595174263,1,0,0,0
299.0,309.5,1861,23.3,73,0,0,1,0,10.5,4540.784717670103,1700.9,79.87124463519314,1,0,0,0
299.1,309.5,1512,39.0,75,0,0,1,0,10.399999999999977,6175.114519896097,2925.0,38.76923076923077,1,0,0,0
299.1,309.4,1811,24.6,77,0,1,0,0,10.299999999999955,4665.327922433915,1894.2,73.61788617886178,1,0,0,0
299.1,309.4,1439,44.2,82,0,0,1,0,10.299999999999955,6660.574360679816,3624.4,32.556561085972845,0,1,0,0
299.0,309.4,1693,30.1,84,0,0,1,0,10.399999999999977,5336.445417069278,2528.4,56.24584717607973,0,1,0,0
299.1,309.5,1339,48.2,86,0,0,0,1,10.399999999999977,6758.592051471817,4145.2,27.780082987551864,0,1,0,0
299.0,309.4,1798,25.5,89,0,0,1,0,10.399999999999977,4801.296052481281,2269.5,70.50980392156863,0,1,0,0
299.0,309.4,1419,48.3,91,0,0,1,0,10.399999999999977,7177.251160464705,4395.3,29.378881987577643,0,1,0,0
298.9,309.3,1665,32.5,93,0,0,1,0,10.400000000000034,5666.647748912589,3022.5,51.23076923076923,0,1,0,0
298.8,309.1,1559,34.7,95,0,0,0,1,10.300000000000011,5665.0560086347705,3296.5000000000005,44.92795389048991,0,1,0,0
298.8,309.2,1452,48.6,98,0,0,0,1,10.399999999999977,7389.779903480055,4762.8,29.87654320987654,0,1,0,0
298.9,309.2,1581,36.7,101,0,0,0,1,10.300000000000011,6076.122935381483,3706.7000000000003,43.07901907356948,0,1,0,0
298.8,309.1,1439,39.2,104,0,0,1,0,10.300000000000011,5907.115722593864,4076.8,36.70918367346938,0,1,0,0
298.9,309.2,1379,50.7,106,0,1,0,0,10.300000000000011,7321.513095117549,5374.200000000001,27.19921104536489,0,1,0,0
298.8,309.1,1350,52.5,111,0,0,1,0,10.300000000000011,7422.012644105886,5827.5,25.714285714285715,0,1,0,0
298.8,309.1,1362,45.4,113,0,0,1,0,10.300000000000011,6475.3251138731375,5130.2,30.0,0,1,0,0
298.8,309.1,1368,50.8,115,0,0,1,0,10.300000000000011,7277.436550187683,5842.0,26.92913385826772,0,1,0,0
298.8,309.1,1368,49.1,117,0,0,0,1,10.300000000000011,7033.900287681403,5744.7,27.861507128309572,0,1,0,0
298.8,309.2,1372,48.5,120,0,1,0,0,10.399999999999977,6968.2619451724,5820.0,28.288659793814432,0,1,0,0
298.8,309.1,1472,47.5,125,0,0,0,1,10.300000000000011,7322.005277966611,5937.5,30.989473684210527,0,1,0,0
298.8,309.1,1489,49.1,128,0,0,1,0,10.300000000000011,7656.050824822814,6284.8,30.325865580448063,0,1,0,0
298.7,309.0,1843,25.8,130,0,0,0,1,10.300000000000011,4979.36152408675,3354.0,71.43410852713178,0,1,0,0
298.8,309.1,1418,46.3,133,0,0,1,0,10.300000000000011,6875.20797077307,6157.9,30.62634989200864,0,1,0,0
298.8,309.2,1425,53.9,135,0,1,0,0,10.399999999999977,8043.262591353267,7276.5,26.437847866419297,0,1,0,0
298.9,309.2,1412,44.1,140,0,0,0,1,10.300000000000011,6520.815375497118,6174.0,32.01814058956916,0,1,0,0
298.9,309.1,2861,4.6,143,1,0,1,0,10.200000000000045,1378.1748092277942,657.8,621.9565217391305,0,1,0,0
298.9,309.1,1383,54.9,145,0,0,1,0,10.200000000000045,7951.02543104387,7960.5,25.191256830601095,0,1,0,0
298.8,309.0,1497,43.8,147,0,1,0,0,10.199999999999989,6866.327735538923,6438.599999999999,34.178082191780824,0,1,0,0
298.7,309.0,1565,35.1,152,0,0,1,0,10.300000000000011,5752.41322835559,5335.2,44.58689458689459,0,1,0,0
298.7,309.0,1691,30.1,154,0,0,1,0,10.300000000000011,5330.141287811075,4635.400000000001,56.17940199335548,0,1,0,0
298.8,309.1,1512,40.7,156,0,0,1,0,10.300000000000011,6444.286178455671,6349.200000000001,37.14987714987715,0,1,0,0
298.8,309.1,1477,42.4,158,0,0,1,0,10.300000000000011,6558.053720417668,6699.2,34.83490566037736,0,1,0,0
298.8,309.1,1513,40.3,160,0,0,1,0,10.300000000000011,6385.171876690622,6448.0,37.54342431761787,0,1,0,0
