,Gradient Boosting,Optimized MLP,Autoencoder
Threshold,0.26,0.36000000000000004,0.23364410751787207
Precision,0.9555555555555556,0.2358974358974359,0.09090909090909091
Recall,0.8431372549019608,0.9019607843137255,0.09803921568627451
F1,0.8958333333333334,0.37398373983739835,0.09433962264150944
PR-AUC,0.9273228591093259,0.6618312803062504,0.10739551022597515
ROC-AUC,0.9765693717100368,0.9692147390357109,0.6603066347311872
FNR,0.1568627450980392,0.09803921568627451,0.9019607843137255
TN,1447.0,1300.0,1399.0
FP,2.0,149.0,50.0
FN,8.0,5.0,46.0
TP,43.0,46.0,5.0
Business Cost,41000.0,99500.0,255000.0
